dataset,query_id,doc_id,label,bm25_rank,query_text,doc_text
scifact,1029,18488986,0,62,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseas,The Immune Response to Melanoma Is Limited by Thymic Selection of Self-Antigens The expression of melanoma-associated antigens (MAA) being limited to normal mel
scifact,1029,23912923,0,58,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseas,Disruption of the immune-checkpoint VISTA gene imparts a proinflammatory phenotype with predisposition to the development of autoimmunity. V domain-containing I
scifact,1029,8842332,0,33,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseas,Contemporary type 1 diabetes pregnancy outcomes: impact of obesity and glycaemic control. OBJECTIVE To compare contemporary pregnancy outcomes in women with and
scifact,1029,41120293,0,82,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseas,The Intestinal Immune System in Obesity and Insulin Resistance. Obesity and insulin resistance are associated with chronic inflammation in metabolic tissues suc
scifact,129,27768226,1,0,Articles published in open access format are less likely to be cited than traditional journals.,Open Access Increases Citation Rate PLoS Biology publishes today a research article by Gunther Eysenbach that is not about biology. It is about citations. It pr
scifact,129,41354899,0,36,Articles published in open access format are less likely to be cited than traditional journals.,Drug interactions between oral contraceptives and antibiotics. OBJECTIVE To evaluate the evidence on possible drug interactions between antibiotics and oral con
scifact,129,21553394,0,84,Articles published in open access format are less likely to be cited than traditional journals.,"Vitamin D and obesity: current perspectives and future directions. In recent years, new functional roles of vitamin D beyond its traditional role in calcium hom"
scifact,129,30655442,0,86,Articles published in open access format are less likely to be cited than traditional journals.,The EMBL nucleotide sequence database. The EMBL Nucleotide Sequence Database (http://www.ebi.ac.uk/embl. html ) constitutes Europe's primary nucleotide sequence
scifact,129,32390525,0,73,Articles published in open access format are less likely to be cited than traditional journals.,"Prevention of malaria in long-term travelers. CONTEXT Long-term travelers, defined here as those traveling for periods of 6 months or longer, face particular ch"
scifact,411,14924526,1,0,Febrile seizures reduce the threshold for development of epilepsy.,Febrile seizures in the developing brain result in persistent modification of neuronal excitability in limbic circuits Febrile (fever-induced) seizures affect 3
scifact,411,1287809,0,14,Febrile seizures reduce the threshold for development of epilepsy.,Cost-effectiveness of 10-Year Risk Thresholds for Initiation of Statin Therapy for Primary Prevention of Cardiovascular Disease. IMPORTANCE The American College
scifact,411,7729656,0,18,Febrile seizures reduce the threshold for development of epilepsy.,"Lessons from more than 80 structures of the GluA2 ligand-binding domain in complex with agonists, antagonists and allosteric modulators. Ionotropic glutamate re"
scifact,411,9767444,0,82,Febrile seizures reduce the threshold for development of epilepsy.,Epigenetic therapy activates type I interferon signaling in murine ovarian cancer to reduce immunosuppression and tumor burden. Ovarian cancer is the most letha
scifact,411,5710820,0,19,Febrile seizures reduce the threshold for development of epilepsy.,"The feasibility of malaria elimination in South Africa BACKGROUND Following the last major malaria epidemic in 2000, malaria incidence in South Africa has decli"
scifact,544,24221369,1,26,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,A Conserved Histidine in the RNA Sensor RIG-I Controls Immune Tolerance to N1-2'O-Methylated Self RNA. The cytosolic helicase retinoic acid-inducible gene-I (RI
scifact,544,17077004,0,74,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,Stable partnership and progression to AIDS or death in HIV infected patients receiving highly active antiretroviral therapy: Swiss HIV cohort study. OBJECTIVES 
scifact,544,9904546,0,33,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,Interferon alfa therapy for chronic hepatitis B in children: a multinational randomized controlled trial. BACKGROUND & AIMS Treatment of chronic hepatitis B wit
scifact,544,4402497,0,85,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,Innate immunity induced by composition-dependent RIG-I recognition of hepatitis C virus RNA Innate immune defences are essential for the control of virus infect
scifact,544,12885341,0,55,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,A C-Type Lectin Collaborates with a CD45 Phosphatase Homolog to Facilitate West Nile Virus Infection of Mosquitoes West Nile virus (WNV) is the most common arth
nfcorpus,PLAIN-2560,MED-2053,1,2,Childhood Constipation and Cow’s Milk,Cow's-milk-free diet as a therapeutic option in childhood chronic constipation. OBJECTIVES: It has been reported that a number of children with constipation res
nfcorpus,PLAIN-2560,MED-5109,0,91,Childhood Constipation and Cow’s Milk,Microbial and sensory changes throughout the ripening of Prato cheese made from milk with different levels of somatic cells. The objective of this research was 
nfcorpus,PLAIN-2560,MED-5118,0,82,Childhood Constipation and Cow’s Milk,Effect of two types of soy milk and dairy milk on plasma lipids in hypercholesterolemic adults: a randomized trial. OBJECTIVE: To compare the effects of two com
nfcorpus,PLAIN-2560,MED-1175,0,53,Childhood Constipation and Cow’s Milk,A Systematic Review and Meta-analysis of Childhood Leukemia and Parental Occupational Pesticide Exposure Objectives We conducted a systematic review and meta-an
nfcorpus,PLAIN-2560,MED-4841,0,21,Childhood Constipation and Cow’s Milk,Humoral immunity to cow's milk proteins and gliadin within the etiology of recurrent aphthous ulcers? OBJECTIVES: The goal of this study was to determine the in
nfcorpus,PLAIN-977,MED-4399,1,-1,crib death,Beta-casomorphins-7 in infants on different type of feeding and different levels of psychomotor development. Casomorphins are the most important during the firs
nfcorpus,PLAIN-977,MED-3620,0,40,crib death,Dietary factors and cancer mortality among atomic-bomb survivors. Dietary factors such as fruit and vegetables are thought to reduce the risk of cancer incidenc
nfcorpus,PLAIN-977,MED-4440,0,19,crib death,"Soy food consumption and breast cancer prognosis. BACKGROUND: Contrary to earlier clinical studies suggesting that soy may promote breast tumor growth, two rece"
nfcorpus,PLAIN-977,MED-4711,0,91,crib death,Licorice and licochalcone-A induce autophagy in LNCaP prostate cancer cells by suppression of Bcl-2 expression and the mTOR pathway. Licorice is a common Chines
nfcorpus,PLAIN-977,MED-4445,0,52,crib death,Alcohol intake and mortality among women with invasive breast cancer Background: Alcohol intake has consistently been associated with increased breast cancer in
nfcorpus,PLAIN-3322,MED-1532,1,-1,Veggies vs. Cancer,"Trends in mortality from cancers of the breast, colon, prostate, esophagus, and stomach in East Asia: role of nutrition transition. Although substantial nutriti"
nfcorpus,PLAIN-3322,MED-1774,0,80,Veggies vs. Cancer,"A national survey of persistent, bioaccumulative, and toxic (PBT) pollutants in the United States milk supply. This study measured 21 persistent, bioaccumulativ"
nfcorpus,PLAIN-3322,MED-4486,0,5,Veggies vs. Cancer,"Endometrial cancer and meat consumption: a case-cohort study. Diet plays an important role in the etiology of certain cancers, but there is limited evidence wit"
nfcorpus,PLAIN-3322,MED-4313,0,90,Veggies vs. Cancer,A vegetarian dietary pattern as a nutrient-dense approach to weight management: an analysis of the national health and nutrition examination survey... BACKGROUN
nfcorpus,PLAIN-3322,MED-5066,0,12,Veggies vs. Cancer,"Influence of a Diet Very High in Vegetables, Fruit, and Fiber and Low in Fat on Prognosis Following Treatment for Breast Cancer Context Evidence is lacking that"
nfcorpus,PLAIN-207,MED-5363,1,-1,Avoiding Cooked Meat Carcinogens,Dietary patterns and depressive symptoms among Japanese men and women. OBJECTIVE: Although several studies have reported associations of depressive state with s
nfcorpus,PLAIN-207,MED-2265,0,54,Avoiding Cooked Meat Carcinogens,Physical activity increases the bioavailability of flavanones after dietary aronia-citrus juice intake in triathletes. Control and triathlete volunteers (n=8 an
nfcorpus,PLAIN-207,MED-4040,0,4,Avoiding Cooked Meat Carcinogens,Effect of cruciferous vegetable consumption on heterocyclic aromatic amine metabolism in man. The consumption of cooked meat appears to predispose individuals t
nfcorpus,PLAIN-207,MED-1495,0,55,Avoiding Cooked Meat Carcinogens,Response surface methodology for predicting quality characteristics of beef patties added with flaxseed and tomato paste. Response surface methodology was used 
nfcorpus,PLAIN-207,MED-3305,0,83,Avoiding Cooked Meat Carcinogens,Non-occupational malignant pleural mesothelioma due to asbestos and non-asbestos fibres. BACKGROUND AND AIM: The occurrence of malignant pleural mesothelioma (M
nfcorpus,PLAIN-1772,MED-4728,1,0,organotins,"Environmental obesogens: organotins and endocrine disruption via nuclear receptor signaling. Over the last two decades, the incidence of obesity and associated "
nfcorpus,PLAIN-1772,MED-702,0,57,organotins,The efficacy and safety of liraglutide. AIM OF THE REVIEW: To systematically analyze the efficacy and safety of liraglutide for the treatment of diabetes mellit
nfcorpus,PLAIN-1772,MED-820,0,90,organotins,The effect of marjoram (Origanum majorana) tea on the hormonal profile of women with polycystic ovary syndrome: a randomised controlled pilot study. BACKGROUND:
nfcorpus,PLAIN-1772,MED-844,0,66,organotins,Antifungal agents vs. boric acid for treating chronic mycotic vulvovaginitis. Ninety-two women with chronic mycotic vaginal infections were followed with micros
nfcorpus,PLAIN-1772,MED-711,0,46,organotins,Effects of Hibiscus sabdariffa extract powder and preventive treatment (diet) on the lipid profiles of patients with metabolic syndrome (MeSy). Insulin resistan
nfcorpus,PLAIN-934,MED-3656,1,-1,coffee,"A Longitudinal Study of Vaginal Douching and Bacterial Vaginosis—A Marginal Structural Modeling Analysis The etiology of bacterial vaginosis is unknown, and the"
nfcorpus,PLAIN-934,MED-5358,0,98,coffee,Plasma and urinary alkylresorcinol metabolites as potential biomarkers of breast cancer risk in Finnish women: a pilot study. Alkylresorcinols (ARs) are shown t
nfcorpus,PLAIN-934,MED-5366,0,90,coffee,Association of the Mediterranean dietary pattern with the incidence of depression: the Seguimiento Universidad de Navarra/University of Navarra fol... CONTEXT: 
nfcorpus,PLAIN-934,MED-4822,0,51,coffee,"Sweets, sweetened beverages, and risk of pancreatic cancer in a large population-based case–control study Objective We examined the associations between sweets,"
nfcorpus,PLAIN-934,MED-5250,0,22,coffee,"A meta-analysis of prospective studies of coffee consumption and mortality for all causes, cancers and cardiovascular diseases. Several prospective studies cons"
nfcorpus,PLAIN-3271,MED-4476,1,-1,Saturated Fat & Cancer Progression,"Determination of total N-nitroso compounds and their precursors in frankfurters, fresh meat, dried salted fish, sauces, tobacco, and tobacco smoke ... Total N-n"
nfcorpus,PLAIN-3271,MED-1820,0,28,Saturated Fat & Cancer Progression,Gemcitabine Plus Erlotinib for Advanced Pancreatic Cancer: A Systematic Review with Meta-Analysis Background This study aims to comprehensively summarize the cu
nfcorpus,PLAIN-3271,MED-1238,0,52,Saturated Fat & Cancer Progression,Relationship of dietary fat to glucose metabolism. The relationship between dietary fat and glucose metabolism has been recognized for at least 60 years. In exp
nfcorpus,PLAIN-3271,MED-4481,0,76,Saturated Fat & Cancer Progression,"Dietary fat and meat intakes and risk of reflux esophagitis, Barrett’s esophagus and esophageal adenocarcinoma The aim of this study was to investigate whether "
nfcorpus,PLAIN-3271,MED-3874,0,17,Saturated Fat & Cancer Progression,Flaxseed Supplementation (not Dietary Fat Restriction) Reduces Prostate Cancer Proliferation Rates in Men Presurgery Background Prostate cancer affects one-out-
nfcorpus,PLAIN-510,MED-3621,1,-1,airport scanners,"Dental X-rays and Risk of Meningioma Context Ionizing radiation is a consistently identified and potentially modifiable risk factor for meningioma, the most fre"
nfcorpus,PLAIN-510,MED-721,0,37,airport scanners,Bismuth therapy in gastrointestinal diseases. Bismuth therapy has shown efficacy against two major gastrointestinal disorders: peptic ulcer disease and diarrhea
nfcorpus,PLAIN-510,MED-334,0,48,airport scanners,"Differences among total and in vitro digestible phosphorus content of plant foods and beverages. OBJECTIVE: Among plant foods, grain products, legumes, and seed"
nfcorpus,PLAIN-510,MED-851,0,68,airport scanners,Chemoprevention in Barrett's oesophagus. Barrett's oesophagus normally affects the distal oesophagus when metaplastic columnar lined epithelium replaces stratif
nfcorpus,PLAIN-510,MED-118,0,58,airport scanners,Alkylphenols in human milk and their relations to dietary habits in central Taiwan. The aims of this study were to determine the concentrations of 4-nonylphenol
